0, 2, 9, 180, 20*9
6, 9, 2, 192, 96*2
1, 5, 5, 255, 51*5
4, 1, 4, 56, 14*4
8, 6, 9, 612, 68*9
4, 6, 4, 256, 64*4
9, 6, 3, 23, 69/3
2, 1, 7, 84, 12*7
5, 4, 5, 225, 45*5
7, 5, 3, 171, 57*3
3, 5, 6, 318, 53*6
1, 7, 3, 213, 71*3
5, 2, 7, 175, 25*7
0, 6, 3, 180, 60*3
8, 4, 9, 432, 48*9
6, 9, 8, 12, 96/8
7, 8, 3, 261, 87*3
5, 1, 3, 5, 15/3
4, 7, 6, 444, 74*6
3, 7, 9, 657, 73*9
2, 7, 6, 12, 72/6
3, 1, 2, 26, 13*2
2, 2, 1, 22, 22*1
8, 7, 9, 702, 78*9
1, 3, 3, 93, 31*3
4, 1, 2, 7, 14/2
1, 3, 9, 279, 31*9
8, 4, 8, 6, 48/8
1, 4, 1, 41, 41*1
9, 9, 1, 99, 99*1
7, 8, 8, 696, 87*8
2, 8, 6, 492, 82*6
9, 5, 4, 236, 59*4
4, 4, 4, 11, 44/4
4, 4, 8, 352, 44*8
8, 1, 6, 108, 18*6
7, 4, 4, 188, 47*4
8, 4, 1, 48, 48*1
0, 6, 7, 420, 60*7
3, 6, 3, 21, 63/3
3, 7, 6, 438, 73*6
4, 6, 5, 320, 64*5
4, 3, 2, 68, 34*2
5, 4, 6, 270, 45*6
9, 1, 9, 171, 19*9
4, 2, 9, 216, 24*9
9, 5, 5, 295, 59*5
9, 5, 9, 531, 59*9
6, 7, 6, 456, 76*6
7, 8, 6, 522, 87*6
1, 2, 6, 126, 21*6
0, 4, 6, 240, 40*6
7, 9, 1, 97, 97*1
2, 9, 7, 644, 92*7
6, 1, 3, 48, 16*3
9, 8, 2, 178, 89*2
6, 8, 2, 43, 86/2
8, 6, 6, 408, 68*6
9, 5, 7, 413, 59*7
8, 8, 2, 176, 88*2
7, 6, 1, 67, 67*1
4, 8, 8, 672, 84*8
9, 6, 9, 621, 69*9
4, 4, 8, 352, 44*8
0, 4, 8, 5, 40/8
2, 1, 7, 84, 12*7
0, 5, 2, 100, 50*2
6, 3, 3, 108, 36*3
5, 2, 5, 125, 25*5
5, 4, 3, 135, 45*3
5, 1, 5, 75, 15*5
3, 7, 9, 657, 73*9
0, 3, 2, 15, 30/2
4, 8, 4, 336, 84*4
7, 2, 3, 9, 27/3
9, 8, 5, 445, 89*5
7, 1, 7, 119, 17*7
7, 3, 8, 296, 37*8
0, 7, 2, 140, 70*2
7, 7, 4, 308, 77*4
1, 4, 7, 287, 41*7
3, 9, 8, 744, 93*8
2, 7, 3, 216, 72*3
6, 3, 4, 9, 36/4
0, 7, 4, 280, 70*4
4, 5, 6, 324, 54*6
4, 7, 8, 592, 74*8
4, 4, 1, 44, 44*1
5, 5, 6, 330, 55*6
2, 3, 2, 16, 32/2
0, 6, 4, 240, 60*4
7, 5, 5, 285, 57*5
1, 1, 3, 33, 11*3
1, 7, 4, 284, 71*4
6, 2, 4, 104, 26*4
8, 4, 2, 96, 48*2
6, 9, 1, 96, 96*1
7, 2, 5, 135, 27*5
0, 3, 7, 210, 30*7
4, 2, 3, 8, 24/3
5, 1, 8, 120, 15*8
2, 7, 2, 144, 72*2
9, 7, 5, 395, 79*5
2, 7, 9, 8, 72/9
2, 6, 1, 62, 62*1
4, 3, 1, 34, 34*1
8, 4, 6, 8, 48/6
4, 2, 3, 8, 24/3
7, 2, 7, 189, 27*7
5, 4, 8, 360, 45*8
3, 6, 9, 7, 63/9
9, 1, 8, 152, 19*8
7, 5, 5, 285, 57*5
6, 6, 2, 33, 66/2
3, 6, 5, 315, 63*5
0, 9, 8, 720, 90*8
4, 4, 4, 11, 44/4
4, 3, 4, 136, 34*4
9, 8, 2, 178, 89*2
4, 8, 2, 168, 84*2
6, 8, 2, 172, 86*2
1, 6, 3, 183, 61*3
9, 8, 1, 89, 89*1
4, 5, 6, 324, 54*6
8, 7, 5, 390, 78*5
