2, 5, 52, 52
9, 5, 59, 59
2, 7, 72, 72
4, 6, 64, 64
4, 1, 14, 14
7, 6, 67, 67
1, 9, 91, 91
1, 7, 71, 71
8, 1, 18, 18
3, 9, 93, 93
3, 8, 83, 83
6, 1, 16, 16
8, 7, 78, 78
1, 5, 51, 51
9, 1, 19, 19
6, 4, 46, 46
3, 4, 43, 43
2, 5, 52, 52
1, 2, 21, 21
1, 7, 71, 71
3, 4, 43, 43
9, 3, 39, 39
8, 7, 78, 78
6, 3, 36, 36
6, 2, 26, 26
9, 6, 69, 69
9, 5, 59, 59
5, 8, 85, 85
8, 4, 48, 48
9, 6, 69, 69
5, 4, 45, 45
5, 9, 95, 95
6, 4, 46, 46
1, 8, 81, 81
2, 4, 42, 42
6, 2, 26, 26
2, 4, 42, 42
1, 9, 91, 91
6, 4, 46, 46
4, 8, 84, 84
1, 2, 21, 21
2, 5, 52, 52
7, 1, 17, 17
2, 6, 62, 62
5, 1, 15, 15
4, 3, 34, 34
1, 9, 91, 91
8, 7, 78, 78
8, 3, 38, 38
6, 1, 16, 16
8, 2, 28, 28
1, 5, 51, 51
8, 2, 28, 28
7, 5, 57, 57
5, 9, 95, 95
2, 7, 72, 72
6, 9, 96, 96
5, 9, 95, 95
1, 8, 81, 81
2, 6, 62, 62
7, 2, 27, 27
4, 7, 74, 74
4, 6, 64, 64
9, 4, 49, 49
5, 2, 25, 25
4, 8, 84, 84
2, 9, 92, 92
9, 3, 39, 39
2, 4, 42, 42
9, 6, 69, 69
3, 9, 93, 93
8, 2, 28, 28
1, 8, 81, 81
9, 8, 89, 89
2, 8, 82, 82
5, 7, 75, 75
6, 1, 16, 16
6, 7, 76, 76
1, 8, 81, 81
8, 9, 98, 98
5, 2, 25, 25
2, 3, 32, 32
7, 4, 47, 47
4, 7, 74, 74
2, 1, 12, 12
6, 2, 26, 26
7, 2, 27, 27
3, 2, 23, 23
3, 8, 83, 83
3, 1, 13, 13
5, 3, 35, 35
4, 9, 94, 94
9, 3, 39, 39
5, 9, 95, 95
2, 1, 12, 12
5, 2, 25, 25
7, 2, 27, 27
2, 9, 92, 92
5, 2, 25, 25
5, 6, 65, 65
8, 4, 48, 48
3, 6, 63, 63
2, 5, 52, 52
4, 2, 24, 24
4, 6, 64, 64
6, 2, 26, 26
9, 6, 69, 69
2, 6, 62, 62
3, 5, 53, 53
9, 1, 19, 19
