2, 3, 5, 253, 253
4, 7, 3, 437, 437
2, 5, 2, 522, 522
4, 1, 7, 714, 714
4, 6, 5, 456, 456
8, 3, 1, 381, 381
3, 1, 3, 331, 331
7, 5, 4, 745, 745
6, 7, 2, 627, 627
8, 7, 5, 758, 758
1, 8, 2, 281, 281
9, 2, 9, 992, 992
7, 8, 8, 887, 887
7, 7, 9, 797, 797
6, 8, 3, 368, 368
9, 5, 3, 395, 395
3, 2, 3, 233, 233
2, 6, 2, 226, 226
4, 6, 3, 643, 643
2, 4, 6, 462, 462
8, 7, 4, 748, 748
3, 6, 2, 263, 263
3, 6, 9, 396, 396
6, 8, 8, 886, 886
9, 8, 7, 789, 789
9, 4, 5, 594, 594
1, 1, 3, 311, 311
4, 7, 4, 447, 447
7, 3, 2, 372, 372
1, 3, 9, 931, 931
7, 5, 1, 175, 175
3, 3, 4, 343, 343
9, 6, 6, 669, 669
1, 8, 1, 118, 118
3, 6, 2, 623, 623
7, 6, 5, 657, 657
4, 8, 7, 784, 784
4, 2, 2, 224, 224
4, 5, 3, 534, 534
8, 4, 1, 418, 418
7, 5, 9, 957, 957
7, 6, 2, 627, 627
3, 6, 2, 623, 623
2, 2, 3, 232, 232
8, 9, 1, 981, 981
1, 7, 3, 371, 371
6, 5, 1, 165, 165
4, 5, 2, 254, 254
1, 2, 6, 216, 216
8, 5, 1, 581, 581
8, 5, 2, 528, 528
8, 6, 7, 876, 876
4, 4, 7, 744, 744
7, 2, 5, 275, 275
7, 6, 1, 617, 617
2, 8, 5, 582, 582
2, 8, 7, 782, 782
5, 9, 1, 519, 519
5, 9, 3, 395, 395
6, 1, 9, 196, 196
2, 3, 4, 432, 432
9, 2, 6, 629, 629
6, 4, 1, 164, 164
8, 9, 6, 698, 698
1, 3, 7, 713, 713
1, 9, 4, 941, 941
3, 7, 9, 973, 973
9, 8, 4, 489, 489
1, 7, 1, 711, 711
4, 5, 6, 645, 645
9, 5, 9, 995, 995
8, 7, 6, 786, 786
7, 1, 4, 174, 174
7, 4, 8, 478, 478
5, 1, 1, 151, 151
8, 7, 5, 758, 758
1, 3, 1, 113, 113
9, 2, 1, 129, 129
3, 6, 9, 639, 639
2, 5, 4, 524, 524
1, 6, 8, 816, 816
9, 2, 9, 992, 992
8, 8, 9, 988, 988
7, 1, 3, 731, 731
1, 6, 3, 361, 361
9, 5, 2, 529, 529
1, 7, 4, 741, 741
3, 9, 6, 936, 936
8, 2, 7, 782, 782
1, 8, 4, 418, 418
5, 8, 6, 865, 865
6, 2, 6, 266, 266
6, 9, 7, 769, 769
8, 6, 3, 386, 386
3, 9, 2, 329, 329
1, 8, 7, 817, 817
9, 8, 2, 892, 892
2, 6, 3, 236, 236
7, 4, 5, 457, 457
6, 4, 1, 614, 614
1, 5, 3, 513, 513
4, 2, 1, 142, 142
3, 6, 4, 634, 634
1, 2, 8, 812, 812
7, 6, 2, 726, 726
1, 6, 8, 861, 861
9, 3, 9, 399, 399
2, 3, 7, 372, 372
9, 9, 8, 989, 989
2, 8, 6, 628, 628
9, 9, 1, 919, 919
2, 9, 5, 952, 952
5, 4, 3, 453, 453
8, 2, 6, 628, 628
3, 2, 7, 723, 723
4, 5, 2, 524, 524
5, 1, 9, 915, 915
5, 3, 6, 356, 356
7, 7, 6, 677, 677
7, 3, 1, 317, 317
8, 3, 3, 383, 383
4, 2, 5, 254, 254
2, 9, 8, 982, 982
6, 8, 4, 468, 468
6, 6, 3, 366, 366
1, 4, 6, 641, 641
8, 9, 4, 984, 984
5, 8, 2, 258, 258
2, 6, 1, 621, 621
8, 9, 5, 589, 589
9, 8, 6, 869, 869
4, 5, 3, 354, 354
1, 3, 8, 183, 183
3, 1, 1, 113, 113
6, 6, 5, 656, 656
2, 6, 2, 226, 226
3, 8, 7, 873, 873
9, 7, 2, 297, 297
6, 4, 1, 614, 614
5, 6, 3, 365, 365
3, 7, 3, 733, 733
3, 2, 4, 342, 342
7, 8, 8, 887, 887
4, 5, 9, 945, 945
4, 8, 9, 984, 984
3, 7, 5, 537, 537
5, 9, 1, 915, 915
7, 2, 9, 792, 792
6, 3, 3, 363, 363
7, 9, 9, 997, 997
5, 7, 2, 527, 527
7, 8, 8, 878, 878
5, 8, 5, 855, 855
9, 1, 8, 891, 891
1, 6, 7, 716, 716
1, 3, 8, 813, 813
9, 1, 3, 391, 391
6, 3, 1, 316, 316
6, 7, 6, 766, 766
4, 6, 8, 684, 684
3, 2, 3, 233, 233
6, 2, 7, 726, 726
8, 7, 3, 783, 783
5, 2, 3, 235, 235
9, 8, 2, 289, 289
2, 5, 6, 526, 526
7, 9, 6, 679, 679
5, 6, 4, 654, 654
9, 5, 4, 495, 495
7, 7, 9, 797, 797
1, 6, 2, 126, 126
1, 9, 2, 921, 921
6, 1, 1, 116, 116
9, 9, 7, 799, 799
9, 1, 2, 291, 291
9, 2, 8, 982, 982
6, 1, 9, 916, 916
3, 1, 2, 213, 213
6, 1, 1, 161, 161
7, 5, 3, 573, 573
9, 5, 1, 519, 519
8, 6, 2, 286, 286
3, 5, 2, 532, 532
2, 4, 7, 274, 274
9, 3, 5, 395, 395
8, 9, 6, 869, 869
2, 1, 9, 921, 921
9, 6, 7, 796, 796
9, 7, 3, 739, 739
8, 7, 5, 587, 587
1, 2, 8, 182, 182
7, 3, 8, 783, 783
6, 7, 7, 767, 767
2, 9, 6, 269, 269
2, 5, 5, 552, 552
8, 4, 4, 448, 448
4, 1, 6, 641, 641
4, 7, 4, 744, 744
5, 8, 5, 558, 558
8, 6, 9, 896, 896
5, 6, 7, 765, 765
1, 9, 5, 915, 915
7, 4, 5, 754, 754
2, 8, 6, 862, 862
6, 9, 1, 169, 169
